dis_no,seq,start,end,years,decade,decade_year,category,subcategory,type,subtype,event_name,country,iso,latitude,longitude,region,continent,deaths,affected,deaths_affected,random_x,random_y
1973-0035-MEX,615,1973,1973,0,8,3,Geophysical,Earthquake,Earthquake,Ground Movement,,Mexico,MEX,23.634501,-102.552784,Central America,Americas,500,,500,0.473874966,0.75663237
1973-0033-PAK,617,1973,1973,0,8,3,Hydrological,Flood,Flood,Flood,,Pakistan,PAK,30.375321,69.345116,Southern Asia,Asia,474,4800000,4800474,0.659254141,0.304425535
1973-0025-PER,618,1973,1973,0,8,3,Hydrological,Landslide,Landslide,Landslide,,Peru,PER,-9.189967,-75.015152,South America,Americas,500,,500,0.434331042,0.165662264
1974-0047-HND,258,1974,1974,0,8,4,Meteorological,Storm,Storm,Tropical Cyclone,Fifi,Honduras,HND,15.199999,-86.241905,Central America,Americas,8000,600000,608000,0.148256956,0.765991052
1974-0042-BGD,251,1974,1974,0,8,4,Meteorological,Storm,Storm,Tropical Cyclone,,Bangladesh,BGD,23.684994,90.356331,Southern Asia,Asia,2500,,2500,0.04784827,0.590644966
1974-0034-BGD,252,1974,1974,0,8,4,Hydrological,Flood,Flood,Flood,,Bangladesh,BGD,23.684994,90.356331,Southern Asia,Asia,28700,38000000,38028700,0.363978212,0.376681442
1974-0147-BGD,253,1974,1974,0,8,4,Meteorological,Storm,Storm,Storm,,Bangladesh,BGD,23.684994,90.356331,Southern Asia,Asia,300,,300,0.339173031,0.971872009
1974-0127-BRA,254,1974,1974,0,8,4,Biological,Epidemic,Epidemic,Bacterial Disease,,Brazil,BRA,-14.235004,-51.92528,South America,Americas,1500,30000,31500,0.175757443,0.653566669
1974-0015-BRA,255,1974,1974,0,8,4,Hydrological,Flood,Flood,Flood,,Brazil,BRA,-14.235004,-51.92528,South America,Americas,205,325000,325205,0.754597935,0.447034811
1974-0025-CHN,256,1974,1974,0,8,4,Geophysical,Earthquake,Earthquake,Ground Movement,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,20000,,20000,0.873099617,0.689472576
1974-0031-COL,257,1974,1974,0,8,4,Hydrological,Landslide,Landslide,Landslide,,Colombia,COL,4.570868,-74.297333,South America,Americas,300,1000,1300,0.35873548,0.676257451
1973-9005-SOM,613,1974,1976,2,8,4,Climatological,Drought,Drought,Drought,,Somalia,SOM,5.152149,46.199616,Eastern Africa,Africa,19000,230000,249000,0.686861011,0.043044445
1974-0129-IND,620,1974,1974,0,8,4,Hydrological,Flood,Flood,Flood,,India,IND,20.593684,78.96288,Southern Asia,Asia,260,,260,0.120671041,0.461967426
1974-0063-PAK,623,1974,1974,0,8,4,Geophysical,Earthquake,Earthquake,Ground Movement,,Pakistan,PAK,30.375321,69.345116,Southern Asia,Asia,4700,50200,54900,0.559356764,0.204079405
1974-0022-PER,624,1974,1974,0,8,4,Hydrological,Landslide,Landslide,Landslide,,Peru,PER,-9.189967,-75.015152,South America,Americas,310,13500,13810,0.870203213,0.942960459
1974-0019-USA,626,1974,1974,0,8,4,Meteorological,Storm,Storm,Convective Storm,,United States,USA,37.09024,-95.712891,Northern America,Americas,322,,322,0.535436452,0.495104438
1975-0154-CHN,259,1975,1975,0,8,5,Hydrological,Flood,Flood,Flood,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,20000,11000000,11020000,0.009295891,0.83848554
1975-0017-CHN,261,1975,1975,0,8,5,Geophysical,Earthquake,Earthquake,Ground Movement,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,10000,,10000,0.952784707,0.446880833
1975-0037-IND,627,1975,1975,0,8,5,Hydrological,Flood,Flood,Flood,,India,IND,20.593684,78.96288,Southern Asia,Asia,350,34000000,34000350,0.289378135,0.616296297
1975-0045-IND,628,1975,1975,0,8,5,Meteorological,Storm,Storm,Storm,,India,IND,20.593684,78.96288,Southern Asia,Asia,450,,450,0.123440369,0.893785232
1975-0139-MMR,629,1975,1975,0,8,5,Meteorological,Storm,Storm,Tropical Cyclone,,Myanmar,MMR,21.913965,95.956223,South-Eastern Asia,Asia,200,,200,0.329039652,0.221161475
1975-0043-SLB,631,1975,1975,0,8,5,Geophysical,Earthquake,Earthquake,Tsunami,,Solomon Islands,SLB,-9.64571,160.156194,Melanesia,Oceania,200,,200,0.988118051,0.092770789
1975-0012-THA,632,1975,1975,0,8,5,Hydrological,Flood,Flood,Flood,,Thailand,THA,15.870032,100.992541,South-Eastern Asia,Asia,239,3000093,3000332,0.407577482,0.332267074
1975-0053-TUR,633,1975,1975,0,8,5,Geophysical,Earthquake,Earthquake,Ground Movement,,Turkey,TUR,38.963745,35.243322,Western Asia,Asia,2385,53372,55757,0.192436351,0.906538599
1976-0059-COD,698,1976,1976,0,8,6,Biological,Epidemic,Epidemic,Viral Disease,Ebola Haemorrhagic Fever,Congo (Dem. Rep.),COD,-4.038333,21.758664,Middle Africa,Africa,245,262,507,0.69315521,0.389413821
1976-0066-MEX,637,1976,1976,0,8,6,Meteorological,Storm,Storm,Tropical Cyclone,Liza,Mexico,MEX,23.634501,-102.552784,Central America,Americas,600,276400,277000,0.026929217,0.828197949
1976-0038-PHL,641,1976,1976,0,8,6,Meteorological,Storm,Storm,Tropical Cyclone,Olga (Didang),Philippines,PHL,12.879721,121.774017,South-Eastern Asia,Asia,274,2700000,2700274,0.658964716,0.562421914
1976-0050-CHN,263,1976,1976,0,8,6,Geophysical,Earthquake,Earthquake,Ground Movement,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,242000,164000,406000,0.705946455,0.241991539
1976-0024-GTM,264,1976,1976,0,8,6,Geophysical,Earthquake,Earthquake,Ground Movement,,Guatemala,GTM,15.783471,-90.230759,Central America,Americas,23000,4993000,5016000,0.027196277,0.725324396
1976-0043-IDN,265,1976,1976,0,8,6,Geophysical,Earthquake,Earthquake,Ground Movement,,Indonesia,IDN,-0.789275,113.921327,South-Eastern Asia,Asia,420,15000,15420,0.263189513,0.525684488
1976-0047-IDN,266,1976,1976,0,8,6,Geophysical,Earthquake,Earthquake,Ground Movement,,Indonesia,IDN,-0.789275,113.921327,South-Eastern Asia,Asia,573,454755,455328,0.103458963,0.390853206
1976-0054-PHL,634,1976,1976,0,8,6,Geophysical,Earthquake,Earthquake,Ground Movement,,Philippines,PHL,12.879721,121.774017,South-Eastern Asia,Asia,6000,181348,187348,0.791700641,0.251493967
1976-0037-ITA,635,1976,1976,0,8,6,Geophysical,Earthquake,Earthquake,Ground Movement,,Italy,ITA,41.87194,12.56738,Southern Europe,Europe,922,218222,219144,0.519384917,0.367229445
1976-0052-PAK,640,1976,1976,0,8,6,Hydrological,Flood,Flood,Flood,,Pakistan,PAK,30.375321,69.345116,Southern Asia,Asia,338,5566000,5566338,0.19128321,0.65634361
1976-0075-TUR,644,1976,1976,0,8,6,Geophysical,Earthquake,Earthquake,Ground Movement,,Turkey,TUR,38.963745,35.243322,Western Asia,Asia,3840,216000,219840,0.191135377,0.012248003
